TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
SPA,1SPATIAL PLC,ORD 10P,GB00BFZ45C84,SHRS,Shares,Technology,Technology,43333,United Kingdom,GBX,AIM,,ASX1,AIMP
III,3I GROUP PLC,ORD 73 19/22P,GB00B1YW4409,SHRS,Shares,Financials,Financial Services ,39279,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET1,FS10
3IN,3I INFRASTRUCTURE PLC,ORD NPV,JE00BF5FX167,SHRS,Shares,Financials,Financial Services ,43174,Jersey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
4BB,4BASEBIO UK SOCIETAS,ORD EUR1.00,GB00BLD8ZL39,SHRS,Shares,Health Care ,Health Care  ,44244,United Kingdom,GBX,AIM,,ASQ1,AMQ1
DDDD,4D PHARMA PLC,ORD 0.25P,GB00BJL5BR07,SHRS,Shares,Health Care ,Health Care  ,41688,United Kingdom,GBX,AIM,,AMSM,ASM6
FOUR,4IMPRINT GROUP PLC,ORD 38 6/13P,GB0006640972,SHRS,Shares,Consumer Discretionary,Media,39069,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
SIXH,600 GROUP PLC,ORD 1P,GB0008121641,SHRS,Shares,Basic Materials,Basic Resources,35171,United Kingdom,GBX,AIM,,ASQ1,AMQ1
7DIG,7DIGITAL GROUP PLC,ORD 0.01P,GB00BMH46555,SHRS,Shares,Consumer Discretionary,Retail ,41800,United Kingdom,GBX,AIM,,ASX1,AIMP
888,888 HOLDINGS PLC,ORD 0.5P,GI000A0F6407,SHRS,Shares,Consumer Discretionary,Travel and Leisure,39001,Gibraltar,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25S
88E,88 ENERGY LIMITED,ORD NPV (DI),AU00000088E2,SHRS,Shares,Energy,Energy,42069,Australia,GBX,AIM,,ASQ1,AMQ1
ABBA,ABBEY PLC,ORD EUR 0.32 (ASSD GALLAGHER HLDGS CASH),IE00BL96WS76,SHRS,Shares,,,44181,Ireland,GBX,AIM,,ASXN,AIMN
ABC,ABCAM PLC,ORD 0.2P,GB00B6774699,SHRS,Shares,Health Care ,Health Care  ,40497,United Kingdom,GBX,AIM,,AMSM,AE50
ABDP,AB DYNAMICS PLC,ORD 1P,GB00B9GQVG73,SHRS,Shares,Industrials,Industrial Goods and Services,41416,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AAIF,ABERDEEN ASIAN INCOME FUND LTD,ORD NPV,GB00B0P6J834,SHRS,Shares,Financials,Financial Services ,39069,Jersey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
